title,text,subject,date
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
Alien Invasion Imminent Says Top Secret Source,A leaked document from a secret underground base claims that aliens are planning to invade Earth next Tuesday. Share before it's deleted!,conspiracy,2024-01-01
Magic Pill Cures All Diseases Instantly,Big Pharma is hiding the truth about a $1 pill that can cure anything from the common cold to cancer. Doctors hate this one trick!,health,2024-01-02
"Celebrity Replaced by Clone, Evidence Found","Fans noticed a change in the star's earlobe shape, proving they have been replaced by a government-funded biological clone.",gossip,2024-01-03
